[1/3] C 소스 파일 컴파일 중: files/main.c
[2/3] CPU 및 16MB DRAM 초기화 중...
[3/3] 파이프라인 시뮬레이션 시작

========================= Simulation Running =========================
[00050 Cycle] IF_PC: 0x00000234 | ID_PC: 0x00000230 | EX_PC: 0x0000022C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00051 Cycle] IF_PC: 0x00000234 | ID_PC: 0x00000230 | EX_PC: 0x0000022C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00052 Cycle] IF_PC: 0x00000234 | ID_PC: 0x00000230 | EX_PC: 0x0000022C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00053 Cycle] IF_PC: 0x00000234 | ID_PC: 0x00000230 | EX_PC: 0x0000022C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00054 Cycle] IF_PC: 0x00000234 | ID_PC: 0x00000230 | EX_PC: 0x0000022C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00055 Cycle] IF_PC: 0x00000238 | ID_PC: 0x00000234 | EX_PC: 0x00000230 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00056 Cycle] IF_PC: 0x00000238 | ID_PC: 0x00000234 | EX_PC: 0x00000230 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00057 Cycle] IF_PC: 0x00000238 | ID_PC: 0x00000234 | EX_PC: 0x00000230 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00058 Cycle] IF_PC: 0x00000238 | ID_PC: 0x00000234 | EX_PC: 0x00000230 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00059 Cycle] IF_PC: 0x00000238 | ID_PC: 0x00000234 | EX_PC: 0x00000230 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00060 Cycle] IF_PC: 0x0000023C | ID_PC: 0x00000238 | EX_PC: 0x00000234 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 636
[00061 Cycle] IF_PC: 0x0000023C | ID_PC: 0x00000238 | EX_PC: 0x00000234 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00062 Cycle] IF_PC: 0x0000023C | ID_PC: 0x00000238 | EX_PC: 0x00000234 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00063 Cycle] IF_PC: 0x0000023C | ID_PC: 0x00000238 | EX_PC: 0x00000234 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00064 Cycle] IF_PC: 0x0000023C | ID_PC: 0x00000238 | EX_PC: 0x00000234 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00065 Cycle] IF_PC: 0x00000240 | ID_PC: 0x0000023C | EX_PC: 0x00000238 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00066 Cycle] IF_PC: 0x00000240 | ID_PC: 0x0000023C | EX_PC: 0x00000238 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00067 Cycle] IF_PC: 0x00000240 | ID_PC: 0x0000023C | EX_PC: 0x00000238 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00068 Cycle] IF_PC: 0x00000240 | ID_PC: 0x0000023C | EX_PC: 0x00000238 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00069 Cycle] IF_PC: 0x00000240 | ID_PC: 0x0000023C | EX_PC: 0x00000238 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00070 Cycle] IF_PC: 0x00000244 | ID_PC: 0x00000240 | EX_PC: 0x0000023C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00071 Cycle] IF_PC: 0x00000244 | ID_PC: 0x00000240 | EX_PC: 0x0000023C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00072 Cycle] IF_PC: 0x00000244 | ID_PC: 0x00000240 | EX_PC: 0x0000023C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00073 Cycle] IF_PC: 0x00000244 | ID_PC: 0x00000240 | EX_PC: 0x0000023C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00074 Cycle] IF_PC: 0x00000244 | ID_PC: 0x00000240 | EX_PC: 0x0000023C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00075 Cycle] IF_PC: 0x00000248 | ID_PC: 0x00000244 | EX_PC: 0x00000240 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00076 Cycle] IF_PC: 0x00000248 | ID_PC: 0x00000244 | EX_PC: 0x00000240 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00077 Cycle] IF_PC: 0x00000248 | ID_PC: 0x00000244 | EX_PC: 0x00000240 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00078 Cycle] IF_PC: 0x00000248 | ID_PC: 0x00000244 | EX_PC: 0x00000240 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00079 Cycle] IF_PC: 0x00000248 | ID_PC: 0x00000244 | EX_PC: 0x00000240 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00080 Cycle] IF_PC: 0x0000024C | ID_PC: 0x00000248 | EX_PC: 0x00000244 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00081 Cycle] IF_PC: 0x0000024C | ID_PC: 0x00000248 | EX_PC: 0x00000244 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00082 Cycle] IF_PC: 0x0000024C | ID_PC: 0x00000248 | EX_PC: 0x00000244 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00083 Cycle] IF_PC: 0x0000024C | ID_PC: 0x00000248 | EX_PC: 0x00000244 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00084 Cycle] IF_PC: 0x0000024C | ID_PC: 0x00000248 | EX_PC: 0x00000244 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00085 Cycle] IF_PC: 0x00000250 | ID_PC: 0x0000024C | EX_PC: 0x00000248 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00086 Cycle] IF_PC: 0x00000250 | ID_PC: 0x0000024C | EX_PC: 0x00000248 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00087 Cycle] IF_PC: 0x00000250 | ID_PC: 0x0000024C | EX_PC: 0x00000248 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00088 Cycle] IF_PC: 0x00000250 | ID_PC: 0x0000024C | EX_PC: 0x00000248 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00089 Cycle] IF_PC: 0x00000250 | ID_PC: 0x0000024C | EX_PC: 0x00000248 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00090 Cycle] IF_PC: 0x00000254 | ID_PC: 0x00000250 | EX_PC: 0x0000024C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00091 Cycle] IF_PC: 0x00000254 | ID_PC: 0x00000250 | EX_PC: 0x0000024C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00092 Cycle] IF_PC: 0x00000254 | ID_PC: 0x00000250 | EX_PC: 0x0000024C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00093 Cycle] IF_PC: 0x00000254 | ID_PC: 0x00000250 | EX_PC: 0x0000024C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00094 Cycle] IF_PC: 0x00000254 | ID_PC: 0x00000250 | EX_PC: 0x0000024C | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00095 Cycle] IF_PC: 0x00000258 | ID_PC: 0x00000254 | EX_PC: 0x00000250 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00096 Cycle] IF_PC: 0x00000258 | ID_PC: 0x00000254 | EX_PC: 0x00000250 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00097 Cycle] IF_PC: 0x00000258 | ID_PC: 0x00000254 | EX_PC: 0x00000250 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00098 Cycle] IF_PC: 0x00000258 | ID_PC: 0x00000254 | EX_PC: 0x00000250 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
[00099 Cycle] IF_PC: 0x00000258 | ID_PC: 0x00000254 | EX_PC: 0x00000250 | sp: 0x007FFFD0 | a0: 88 | s0: 8388608 | s5: 23
